wavenumber         DET0         DET1
     -34.3     0.027719     0.033830
     -34.2     0.028661     0.035079
     -34.1     0.029626     0.036349
     -34.0     0.030539     0.037542
     -33.9     0.031468     0.038744
     -33.8     0.032383     0.039918
     -33.7     0.033281     0.041059
     -33.6     0.034178     0.042189
     -33.5     0.035004     0.043219
     -33.4     0.035821     0.044226
     -33.3     0.036600     0.045177
     -33.2     0.037339     0.046066
     -33.1     0.038049     0.046909
     -33.0     0.038677     0.047642
     -32.9     0.039270     0.048319
     -32.8     0.039807     0.048918
     -32.7     0.040285     0.049436
     -32.6     0.040713     0.049880
     -32.5     0.041058     0.050219
     -32.4     0.041349     0.050481
     -32.3     0.041576     0.050657
     -32.2     0.041737     0.050747
     -32.1     0.041836     0.050751
     -32.0     0.041867     0.050674
     -31.9     0.041839     0.050516
     -31.8     0.041752     0.050279
     -31.7     0.041611     0.049969
     -31.6     0.041418     0.049587
     -31.5     0.041181     0.049140
     -31.4     0.040904     0.048633
     -31.3     0.040595     0.048070
     -31.2     0.040261     0.047458
     -31.1     0.039909     0.046802
     -31.0     0.039548     0.046110
     -30.9     0.039185     0.045388
     -30.8     0.038828     0.044644
     -30.7     0.038485     0.043886
     -30.6     0.038163     0.043122
     -30.5     0.037868     0.042359
     -30.4     0.037605     0.041606
     -30.3     0.037382     0.040871
     -30.2     0.037200     0.040162
     -30.1     0.037064     0.039487
     -30.0     0.036977     0.038852
     -29.9     0.036940     0.038265
     -29.8     0.036956     0.037733
     -29.7     0.037025     0.037261
     -29.6     0.037149     0.036857
     -29.5     0.037329     0.036525
     -29.4     0.037565     0.036269
     -29.3     0.037860     0.036097
     -29.2     0.038214     0.036012
     -29.1     0.038630     0.036020
     -29.0     0.039108     0.036125
     -28.9     0.039650     0.036332
     -28.8     0.040259     0.036646
     -28.7     0.040935     0.037071
     -28.6     0.041681     0.037612
     -28.5     0.042496     0.038271
     -28.4     0.043381     0.039051
     -28.3     0.044336     0.039954
